0	0	0	0
22	0.036	0.008	0.032
44	0.066	0.016	0.064
66	0.092	0.015	0.06
88	0.123	0.022	0.088
110	0.153	0.029	0.116
220	0.287	0.078	0.312
330	0.411	0.116	0.464
440	0.523	0.152	0.608
660	0.718	0.22	0.88
880	0.901	0.279	1.116
1100	1.045	0.335	1.34
1320	1.176	0.4	1.6
1540	1.295	0.455	1.82
1760	1.406	0.502	2.008
1980	1.504	0.582	2.328
2200	1.598	0.61	2.44
