3.698970004	314	285	307	282	307	293	250	304
3.397940009	312	318	295	302	295	290	188	302
3.096910013	322	296	321	289	299	299	244	295
2.795880017	314	308	296	263	294	275	242	293
2.494850022	287	292	293	241	277	273	216	286
2.193820026	298	294	301	289	275	276	152	285
1.89279003	269	303	282	211	200	276	75	254
1.591760035	204	231	245	171	162	233	73	221
1.290730039	112	168	199	154	133	202	97	221
0.989700043	109	153	182	118	96	164	89	169
0.688670048	101	107	174	132	100	131	69	131
0.387640052	49	116	160	132	92	129	62	133
